ecli,drug,relevant_countries
ECLI:NL:RBUTR:2009:BK1522,drugs,[' Netherlands']
ECLI:NL:RBUTR:2009:BK1686,drugs,[' Netherlands']
ECLI:NL:RBUTR:2009:BK1689,drugs,[' Netherlands']
ECLI:NL:RBUTR:2009:BK1569,drugs,[' Netherlands']
ECLI:NL:RBUTR:2009:BK1709,drugs,[' Netherlands']
ECLI:NL:RBZWB:2021:2019,drugs,"[' Germany', ' Netherlands']"
ECLI:NL:RBZWB:2021:2019,amfetamine,[' Germany']
ECLI:NL:RBZWB:2021:2019,mdma,[' Netherlands']
ECLI:NL:GHSHE:2021:533,drugs,[' Netherlands']
ECLI:NL:GHSHE:2021:533,bmk,[' Netherlands']
ECLI:NL:GHSHE:2021:533,amfetaminen,[' Netherlands']
ECLI:NL:RBOVE:2019:3242,cocaïne,"[' Belgium', 'Netherlands', ' Netherlands', 'Belgium']"
ECLI:NL:RBLIM:2018:2976,cocaïne,"['Netherlands', 'Belgium', ' France', 'Dominican Republic', ' Netherlands']"
ECLI:NL:RBLIM:2018:2976,drugs,[' Netherlands']
ECLI:NL:RBLIM:2017:6756,hasjiesj,[' Netherlands']
ECLI:NL:RBLIM:2017:6756,heroïne,[' Spain']
ECLI:NL:RBLIM:2018:10170,harddrugs,[' Netherlands']
ECLI:NL:RBNHO:2017:3819,cocaïne,"['Suriname', 'Netherlands']"
ECLI:NL:GHSHE:2009:BH1269,harddrugs,[' Netherlands']
ECLI:NL:GHSHE:2009:BH1269,cocaïne,[' Netherlands']
ECLI:NL:GHSHE:2009:BH1269,heroïne,[' Netherlands']
ECLI:NL:RBROT:2006:AX2482,cocaïne,"['Europe', 'Netherlands']"
ECLI:NL:RBOVE:2017:4542,cocaïne,"['Netherlands', 'Germany']"
ECLI:NL:RBOVE:2017:4542,amfetamine,"['Netherlands', 'Germany']"
ECLI:NL:RBOVE:2017:4542,hasj,"['Netherlands', 'Germany']"
ECLI:NL:RBOVE:2017:4542,hennep,"['Netherlands', 'Germany']"
ECLI:NL:RBOBR:2016:2235,drugs,"[' Belgium', 'Belgium', ' Netherlands']"
ECLI:NL:RBOBR:2016:538,apaan,[' Netherlands']
ECLI:NL:RBOBR:2016:538,amfetamine,[' Netherlands']
ECLI:NL:RBOBR:2016:538,metamfetamine,[' Netherlands']
ECLI:NL:RBOBR:2016:538,mdma,[' Netherlands']
ECLI:NL:RBOBR:2016:538,mdea,[' Netherlands']
ECLI:NL:RBHAA:2012:BY8837,harddrugs,[' Netherlands']
ECLI:NL:GHSHE:2011:BU4621,drugs,"[' Belgium', 'Belgium', ' Netherlands', 'Netherlands']"
ECLI:NL:GHSHE:2011:BU4621,mdma,[' Netherlands']
ECLI:NL:GHSHE:2011:BU4621,xtc-pillen,[' Netherlands']
ECLI:NL:RBZWB:2021:1986,drugs,"[' Germany', ' Netherlands']"
ECLI:NL:RBZWB:2021:1986,mdma,"[' Germany', ' Netherlands']"
ECLI:NL:RBZWB:2021:1986,amfetamine,[' Germany']
ECLI:NL:GHARL:2020:9104,cocaïne,"[' Belgium', ' Netherlands', ' Iran', 'Colombia']"
ECLI:NL:GHARL:2020:9104,drugs,"[' Belgium', ' Netherlands', 'Netherlands', 'Colombia']"
ECLI:NL:GHLEE:2004:AR2396,drugs,['Spain']
ECLI:NL:RBDHA:2017:6513,harddrugs,[' Netherlands']
ECLI:NL:RBMNE:2021:3965,harddrugs,['Belgium']
ECLI:NL:HR:2021:732,drugs,['China']
ECLI:NL:HR:2021:732,apaan,['China']
ECLI:NL:PHR:2020:904,drugs,[' Haiti']
ECLI:NL:RBOBR:2020:2726,methanol,[' Netherlands']
ECLI:NL:RBOBR:2020:2726,amfetamine,[' Netherlands']
ECLI:NL:RBOBR:2020:2726,mdma,[' Netherlands']
ECLI:NL:RBLIM:2017:6714,harddrugs,[' Spain']
ECLI:NL:RBLIM:2017:6740,harddrugs,[' Spain']
ECLI:NL:GHSHE:2016:5461,drugs,"[' Spain', ' Netherlands']"
ECLI:NL:RBNNE:2014:5718,drugs,['Poland']
ECLI:NL:RBNNE:2014:5718,hasjiesj,"['Poland', 'Netherlands']"
ECLI:NL:RBOBR:2014:5187,mdma,[' Netherlands']
ECLI:NL:RBOBR:2014:5187,pmk,[' Netherlands']
ECLI:NL:RBZWB:2021:2022,drugs,[' Germany']
ECLI:NL:RBZWB:2021:2022,amfetamine,[' Germany']
ECLI:NL:RBLIM:2018:2961,cocaïne,"['Netherlands', 'Dominican Republic', 'Pakistan', ' Netherlands', 'Asia', ' Belgium']"
ECLI:NL:RBLIM:2018:2961,hasjiesj,"['Pakistan', ' Belgium']"
ECLI:NL:RBLIM:2018:2961,amfetamine,[' Belgium']
ECLI:NL:RBLIM:2018:2961,hash,[' Belgium']
ECLI:NL:RBLIM:2018:2961,wiet,[' Belgium']
ECLI:NL:RBLIM:2018:2961,hasj,"['Asia', 'Dominican Republic', ' Netherlands']"
ECLI:NL:RBOVE:2016:2773,ghb,"[' Netherlands', 'Netherlands']"
ECLI:NL:RBOVE:2016:2773,gbl,"[' Netherlands', 'Netherlands']"
ECLI:NL:RBOBR:2016:2222,drugs,"[' Belgium', 'Belgium']"
ECLI:NL:GHSHE:2016:1219,harddrugs,['Belgium']
ECLI:NL:CRVB:2010:BM8227,drugs,"[' Netherlands', ' Israel']"
ECLI:NL:GHAMS:2003:AN8910,drugs,[' Netherlands']
ECLI:NL:GHDHA:2017:3641,drugs,"['Morocco', 'Netherlands']"
ECLI:NL:RBNHO:2017:3820,cocaïne,"['Suriname', 'Netherlands']"
ECLI:NL:RBOBR:2020:601,drugs,"[' Netherlands', ' United States']"
ECLI:NL:RBMNE:2019:991,drugs,[' Netherlands']
ECLI:NL:RBOBR:2017:2216,drugs,[' Netherlands']
ECLI:NL:RBOBR:2016:1171,formamide,[' Netherlands']
ECLI:NL:RBOBR:2016:1171,drugs,[' Netherlands']
ECLI:NL:RBSHE:2008:BC3140,mdma,"['Belgium', ' Belgium']"
ECLI:NL:RBSHE:2008:BC3140,amfetamine,"['Belgium', ' Belgium']"
ECLI:NL:RBSHE:2008:BC3140,bmk,"['Belgium', ' Belgium']"
ECLI:NL:RBSHE:2008:BC3140,drugs,"['Belgium', ' Belgium', ' Netherlands']"
ECLI:NL:RBOVE:2021:1307,mdma,[' Netherlands']
ECLI:NL:RBOVE:2021:1307,drugs,[' Netherlands']
ECLI:NL:RBOVE:2021:1307,pmk,[' Netherlands']
